"pub_year","country_name","patent_count","country_yearly_relative_position"
1939,"Sweden",1,"Low-med tech development"
1939,"United States",775,"High-med tech development"
1940,"Austria",2,"Low tech development"
1940,"Belgium",2,"Low-med tech development"
1940,"Switzerland",76,"High-med tech development"
1940,"Netherlands",3,"Low-med tech development"
1940,"Sweden",1,"Low tech development"
1940,"United States",764,"High-med tech development"
1941,"Austria",1,"Low tech development"
1941,"Belgium",2,"Low tech development"
1941,"Switzerland",100,"High-med tech development"
1941,"Netherlands",2,"Low-med tech development"
1941,"Sweden",2,"Low-med tech development"
1941,"United States",873,"High tech development"
1942,"Belgium",3,"Low-med tech development"
1942,"Switzerland",120,"Low-med tech development"
1942,"Spain",2,"Low tech development"
1942,"Netherlands",2,"Low tech development"
1942,"United States",871,"High tech development"
1943,"Belgium",2,"Low tech development"
1943,"Canada",1,"Low tech development"
1943,"Switzerland",91,"High-med tech development"
1943,"Spain",2,"Low-med tech development"
1943,"Netherlands",3,"Low-med tech development"
1943,"United States",606,"High-med tech development"
1944,"Switzerland",69,"Low-med tech development"
1944,"Denmark",1,"Low tech development"
1944,"United States",528,"High tech development"
1945,"Belgium",1,"Low tech development"
1945,"Switzerland",88,"Low-med tech development"
1945,"United States",425,"High tech development"
1946,"Belgium",7,"Low-med tech development"
1946,"Canada",9,"High-med tech development"
1946,"Switzerland",99,"High-med tech development"
1946,"Denmark",2,"Low tech development"
1946,"Spain",4,"Low-med tech development"
1946,"Luxembourg",1,"Low tech development"
1946,"Netherlands",2,"Low tech development"
1946,"United States",377,"High tech development"
1947,"Belgium",4,"Low-med tech development"
1947,"Canada",3,"Low tech development"
1947,"Switzerland",100,"High-med tech development"
1947,"Spain",18,"Low-med tech development"
1947,"Netherlands",3,"Low tech development"
1947,"United States",431,"High-med tech development"
1948,"Belgium",15,"High-med tech development"
1948,"Canada",1,"Low tech development"
1948,"Switzerland",124,"High-med tech development"
1948,"Denmark",1,"Low tech development"
1948,"Spain",5,"Low-med tech development"
1948,"Netherlands",2,"Low-med tech development"
1948,"Sweden",1,"Low tech development"
1948,"United States",494,"High tech development"
1949,"Austria",3,"Low-med tech development"
1949,"Belgium",6,"High-med tech development"
1949,"Switzerland",102,"High-med tech development"
1949,"Denmark",1,"Low tech development"
1949,"Spain",1,"Low tech development"
1949,"Netherlands",1,"Low-med tech development"
1949,"United States",771,"High tech development"
1950,"Austria",6,"Low-med tech development"
1950,"Belgium",4,"Low tech development"
1950,"Switzerland",109,"High-med tech development"
1950,"Denmark",1,"Low tech development"
1950,"Netherlands",5,"Low-med tech development"
1950,"United States",1043,"High tech development"
1951,"Austria",14,"High-med tech development"
1951,"Australia",1,"Low tech development"
1951,"Belgium",7,"High-med tech development"
1951,"Canada",1,"Low tech development"
1951,"Switzerland",115,"High-med tech development"
1951,"Denmark",1,"Low tech development"
1951,"Japan",1,"Low-med tech development"
1951,"Luxembourg",1,"Low-med tech development"
1951,"Netherlands",4,"Low-med tech development"
1951,"United States",979,"High tech development"
1952,"Austria",5,"High-med tech development"
1952,"Belgium",6,"High-med tech development"
1952,"Switzerland",145,"High-med tech development"
1952,"Denmark",1,"Low tech development"
1952,"Spain",2,"Low tech development"
1952,"Japan",2,"Low-med tech development"
1952,"Luxembourg",2,"Low-med tech development"
1952,"Netherlands",3,"Low-med tech development"
1952,"Sweden",1,"Low tech development"
1952,"United States",957,"High tech development"
1953,"Austria",16,"High-med tech development"
1953,"Belgium",8,"Low-med tech development"
1953,"Switzerland",180,"High-med tech development"
1953,"Spain",1,"Low tech development"
1953,"Luxembourg",2,"Low tech development"
1953,"Netherlands",2,"Low-med tech development"
1953,"United States",958,"High tech development"
1954,"Austria",11,"Low-med tech development"
1954,"Belgium",11,"High-med tech development"
1954,"Switzerland",183,"High-med tech development"
1954,"Spain",5,"Low-med tech development"
1954,"Japan",1,"Low tech development"
1954,"Luxembourg",1,"Low tech development"
1954,"Netherlands",4,"Low-med tech development"
1954,"Sweden",1,"Low tech development"
1954,"United States",769,"High tech development"
1955,"Austria",11,"Low-med tech development"
1955,"Belgium",16,"High-med tech development"
1955,"Canada",1,"Low tech development"
1955,"Switzerland",143,"High-med tech development"
1955,"Spain",8,"Low-med tech development"
1955,"Japan",6,"Low tech development"
1955,"Netherlands",5,"Low tech development"
1955,"United States",679,"High tech development"
1956,"Austria",15,"High-med tech development"
1956,"Australia",1,"Low tech development"
1956,"Belgium",15,"High-med tech development"
1956,"Canada",2,"Low-med tech development"
1956,"Switzerland",110,"High tech development"
1956,"Denmark",1,"Low tech development"
1956,"Spain",3,"Low-med tech development"
1956,"Japan",7,"High-med tech development"
1956,"Netherlands",3,"Low-med tech development"
1956,"Sweden",1,"Low tech development"
1956,"United States",1078,"High tech development"
1957,"Austria",24,"High-med tech development"
1957,"Belgium",16,"High-med tech development"
1957,"Canada",1,"Low tech development"
1957,"Switzerland",223,"High tech development"
1957,"Denmark",1,"Low tech development"
1957,"Spain",5,"Low-med tech development"
1957,"India",1,"Low tech development"
1957,"Japan",7,"High-med tech development"
1957,"Luxembourg",1,"Low tech development"
1957,"Netherlands",4,"Low-med tech development"
1957,"New Zealand",1,"Low-med tech development"
1957,"Sweden",1,"Low-med tech development"
1957,"United States",1058,"High tech development"
1958,"Austria",23,"High-med tech development"
1958,"Belgium",20,"High-med tech development"
1958,"Canada",8,"Low-med tech development"
1958,"Switzerland",200,"High-med tech development"
1958,"Spain",3,"Low tech development"
1958,"Japan",3,"Low tech development"
1958,"Monaco",3,"Low-med tech development"
1958,"Netherlands",5,"Low-med tech development"
1958,"Sweden",1,"Low tech development"
1958,"United States",1306,"High tech development"
1959,"Austria",14,"High-med tech development"
1959,"Belgium",57,"High-med tech development"
1959,"Canada",7,"Low-med tech development"
1959,"Switzerland",227,"High-med tech development"
1959,"Denmark",1,"Low tech development"
1959,"Spain",9,"Low-med tech development"
1959,"Japan",4,"Low tech development"
1959,"Luxembourg",1,"Low tech development"
1959,"Netherlands",11,"Low-med tech development"
1959,"United States",1517,"High tech development"
1960,"Austria",33,"High-med tech development"
1960,"Belgium",125,"High-med tech development"
1960,"Canada",3,"Low tech development"
1960,"Switzerland",196,"High tech development"
1960,"Denmark",2,"Low tech development"
1960,"Spain",36,"High-med tech development"
1960,"Japan",9,"Low-med tech development"
1960,"Luxembourg",6,"Low-med tech development"
1960,"Monaco",1,"Low tech development"
1960,"Netherlands",4,"Low-med tech development"
1960,"United States",1573,"High tech development"
1961,"Austria",25,"High-med tech development"
1961,"Belgium",114,"High-med tech development"
1961,"Canada",11,"Low tech development"
1961,"Switzerland",258,"High tech development"
1961,"Spain",18,"High-med tech development"
1961,"Japan",11,"Low-med tech development"
1961,"Luxembourg",11,"Low-med tech development"
1961,"Monaco",2,"Low tech development"
1961,"Netherlands",15,"Low-med tech development"
1961,"Sweden",2,"Low tech development"
1961,"United States",1644,"High tech development"
1962,"Austria",26,"High-med tech development"
1962,"Belgium",132,"High-med tech development"
1962,"Canada",7,"Low-med tech development"
1962,"Switzerland",230,"High tech development"
1962,"Denmark",5,"Low tech development"
1962,"Spain",37,"High-med tech development"
1962,"Japan",9,"Low-med tech development"
1962,"Luxembourg",16,"Low-med tech development"
1962,"Monaco",1,"Low tech development"
1962,"Netherlands",4,"Low tech development"
1962,"Poland",1,"Low tech development"
1962,"United States",2046,"High tech development"
1963,"Austria",33,"High-med tech development"
1963,"Belgium",19,"Low-med tech development"
1963,"Canada",6,"Low-med tech development"
1963,"Switzerland",184,"High tech development"
1963,NA,1,"Low tech development"
1963,"Denmark",4,"Low tech development"
1963,"Spain",37,"High-med tech development"
1963,"Italy",1,"Low tech development"
1963,"Japan",12,"Low-med tech development"
1963,"Luxembourg",36,"High-med tech development"
1963,"Monaco",2,"Low tech development"
1963,"Netherlands",15,"Low-med tech development"
1963,"United States",1479,"High tech development"
1964,"Austria",23,"Low-med tech development"
1964,"Belgium",247,"High-med tech development"
1964,"Switzerland",317,"High tech development"
1964,"Denmark",5,"Low tech development"
1964,"Spain",49,"High-med tech development"
1964,"Japan",22,"Low-med tech development"
1964,"Luxembourg",17,"Low-med tech development"
1964,"Monaco",1,"Low tech development"
1964,"Netherlands",224,"High-med tech development"
1964,"Sweden",1,"Low tech development"
1964,"United States",1556,"High tech development"
1965,"Austria",67,"High-med tech development"
1965,"Belgium",297,"High-med tech development"
1965,"Canada",2,"Low tech development"
1965,"Switzerland",579,"High tech development"
1965,"Denmark",5,"Low-med tech development"
1965,"Spain",57,"High-med tech development"
1965,"Iceland",1,"Low tech development"
1965,"Japan",15,"Low-med tech development"
1965,"Luxembourg",28,"Low-med tech development"
1965,"Monaco",1,"Low tech development"
1965,"Netherlands",467,"High-med tech development"
1965,"Sweden",3,"Low tech development"
1965,NA,4,"Low-med tech development"
1965,"United States",2194,"High tech development"
1966,"Austria",98,"High-med tech development"
1966,"Australia",6,"Low-med tech development"
1966,"Belgium",332,"High-med tech development"
1966,"Canada",2,"Low tech development"
1966,"Switzerland",701,"High tech development"
1966,"Denmark",26,"Low-med tech development"
1966,"Spain",48,"High-med tech development"
1966,"Italy",1,"Low tech development"
1966,"Japan",16,"Low-med tech development"
1966,"Luxembourg",35,"High-med tech development"
1966,"Monaco",1,"Low tech development"
1966,"Malaysia",2,"Low-med tech development"
1966,"Netherlands",484,"High tech development"
1966,NA,10,"Low-med tech development"
1966,"Sweden",1,"Low tech development"
1966,NA,1,"Low tech development"
1966,"United States",2512,"High tech development"
1967,"Austria",91,"High-med tech development"
1967,"Australia",12,"Low-med tech development"
1967,"Belgium",350,"High-med tech development"
1967,"Canada",4,"Low-med tech development"
1967,"Switzerland",624,"High tech development"
1967,"Cyprus",1,"Low tech development"
1967,"Denmark",38,"High-med tech development"
1967,"Spain",105,"High-med tech development"
1967,"Japan",20,"Low-med tech development"
1967,"Luxembourg",35,"Low-med tech development"
1967,"Monaco",1,"Low tech development"
1967,"Malaysia",1,"Low tech development"
1967,"Netherlands",467,"High tech development"
1967,NA,3,"Low tech development"
1967,"Sweden",1,"Low tech development"
1967,"United States",2183,"High tech development"
1968,"Austria",105,"High-med tech development"
1968,"Australia",22,"Low-med tech development"
1968,"Belgium",335,"High tech development"
1968,"Switzerland",436,"High tech development"
1968,"Denmark",69,"High-med tech development"
1968,"Spain",90,"High-med tech development"
1968,"Finland",2,"Low tech development"
1968,"Greece",1,"Low tech development"
1968,"Ireland",1,"Low tech development"
1968,"Israel",14,"Low-med tech development"
1968,"Iceland",1,"Low tech development"
1968,"Japan",22,"High-med tech development"
1968,"Luxembourg",20,"Low-med tech development"
1968,"Monaco",1,"Low tech development"
1968,"Netherlands",474,"High tech development"
1968,"Norway",18,"Low-med tech development"
1968,NA,3,"Low-med tech development"
1968,"Sweden",228,"High-med tech development"
1968,"United States",2015,"High tech development"
1969,"Austria",121,"High-med tech development"
1969,"Australia",47,"High-med tech development"
1969,"Belgium",395,"High-med tech development"
1969,"Canada",5,"Low tech development"
1969,"Switzerland",402,"High tech development"
1969,"Cyprus",1,"Low tech development"
1969,"Denmark",66,"High-med tech development"
1969,"Spain",91,"High-med tech development"
1969,"Finland",9,"Low tech development"
1969,"Ireland",9,"Low tech development"
1969,"Israel",34,"Low-med tech development"
1969,"Japan",19,"Low-med tech development"
1969,"Luxembourg",28,"Low-med tech development"
1969,"Monaco",2,"Low tech development"
1969,"Malaysia",5,"Low tech development"
1969,"Netherlands",585,"High tech development"
1969,"Norway",38,"Low-med tech development"
1969,NA,11,"Low-med tech development"
1969,"Sweden",430,"High tech development"
1969,"United States",2500,"High tech development"
1970,"Austria",106,"High-med tech development"
1970,"Australia",44,"Low-med tech development"
1970,"Belgium",417,"High-med tech development"
1970,"Canada",6,"Low tech development"
1970,"Switzerland",415,"High-med tech development"
1970,"Denmark",51,"Low-med tech development"
1970,"Spain",102,"High-med tech development"
1970,"Finland",9,"Low tech development"
1970,"Ireland",9,"Low tech development"
1970,"Israel",33,"Low-med tech development"
1970,"Japan",29,"Low tech development"
1970,"Luxembourg",51,"Low-med tech development"
1970,"Netherlands",589,"High tech development"
1970,"Norway",35,"Low-med tech development"
1970,NA,14,"Low tech development"
1970,"Sweden",439,"High tech development"
1970,"United States",2567,"High tech development"
1971,"Austria",126,"High-med tech development"
1971,"Australia",106,"High-med tech development"
1971,"Belgium",424,"High-med tech development"
1971,"Canada",16,"Low tech development"
1971,"Switzerland",391,"High-med tech development"
1971,"Denmark",22,"Low tech development"
1971,"Spain",116,"High-med tech development"
1971,"Finland",16,"Low tech development"
1971,"Ireland",8,"Low tech development"
1971,"Israel",30,"Low-med tech development"
1971,"Japan",39,"Low-med tech development"
1971,"Luxembourg",58,"Low-med tech development"
1971,"Netherlands",552,"High tech development"
1971,"Norway",32,"Low-med tech development"
1971,NA,3,"Low tech development"
1971,"Sweden",525,"High tech development"
1971,"United States",3339,"High tech development"
1971,"South Africa",66,"Low-med tech development"
1972,"Austria",153,"High-med tech development"
1972,"Australia",108,"High-med tech development"
1972,"Belgium",370,"High-med tech development"
1972,"Bulgaria",2,"Low tech development"
1972,"Canada",19,"Low tech development"
1972,"Switzerland",377,"High tech development"
1972,NA,1,"Low tech development"
1972,"Denmark",36,"Low-med tech development"
1972,"Spain",109,"High-med tech development"
1972,"Finland",18,"Low tech development"
1972,"Ireland",10,"Low tech development"
1972,"Israel",49,"Low-med tech development"
1972,"Japan",83,"High-med tech development"
1972,"Luxembourg",61,"Low-med tech development"
1972,"Netherlands",570,"High tech development"
1972,"Norway",42,"Low-med tech development"
1972,"Sweden",447,"High tech development"
1972,NA,5,"Low tech development"
1972,"United States",2974,"High tech development"
1972,"South Africa",75,"Low-med tech development"
1973,"Argentina",39,"Low-med tech development"
1973,"Austria",113,"High-med tech development"
1973,"Australia",313,"High-med tech development"
1973,"Belgium",320,"High-med tech development"
1973,"Bulgaria",4,"Low tech development"
1973,"Brazil",187,"High-med tech development"
1973,"Canada",634,"High tech development"
1973,"Switzerland",320,"High-med tech development"
1973,NA,21,"Low-med tech development"
1973,NA,100,"High-med tech development"
1973,"Denmark",27,"Low-med tech development"
1973,"Spain",80,"High-med tech development"
1973,"Finland",18,"Low tech development"
1973,"Hungary",12,"Low tech development"
1973,"Ireland",12,"Low tech development"
1973,"Israel",33,"Low-med tech development"
1973,"Italy",564,"High tech development"
1973,"Japan",920,"High tech development"
1973,"Luxembourg",51,"Low-med tech development"
1973,"Malaysia",8,"Low tech development"
1973,"Netherlands",526,"High tech development"
1973,"Norway",33,"Low-med tech development"
1973,"Poland",2,"Low tech development"
1973,"Sweden",413,"High tech development"
1973,NA,32,"Low-med tech development"
1973,"Turkey",2,"Low tech development"
1973,"United States",2788,"High tech development"
1973,NA,12,"Low tech development"
1973,"South Africa",76,"Low-med tech development"
1974,"Argentina",44,"High-med tech development"
1974,"Austria",110,"High-med tech development"
1974,"Australia",346,"High tech development"
1974,"Belgium",333,"High-med tech development"
1974,"Bulgaria",2,"Low tech development"
1974,"Brazil",144,"High-med tech development"
1974,"Canada",604,"High tech development"
1974,"Switzerland",307,"High-med tech development"
1974,NA,22,"Low-med tech development"
1974,NA,95,"High-med tech development"
1974,"Denmark",29,"Low-med tech development"
1974,"Spain",86,"High-med tech development"
1974,"Finland",13,"Low tech development"
1974,"Hungary",15,"Low-med tech development"
1974,"Ireland",25,"Low-med tech development"
1974,"Israel",39,"Low-med tech development"
1974,"Italy",551,"High tech development"
1974,"Japan",1614,"High tech development"
1974,"Luxembourg",39,"Low-med tech development"
1974,"Monaco",1,"Low tech development"
1974,"Malaysia",1,"Low tech development"
1974,"Netherlands",704,"High tech development"
1974,"Norway",40,"Low-med tech development"
1974,"Poland",9,"Low tech development"
1974,"Romania",5,"Low tech development"
1974,"Sweden",411,"High tech development"
1974,NA,36,"Low-med tech development"
1974,"Turkey",1,"Low tech development"
1974,"United States",2608,"High tech development"
1974,NA,9,"Low tech development"
1974,"South Africa",68,"High-med tech development"
1975,"Argentina",28,"Low-med tech development"
1975,"Austria",153,"High-med tech development"
1975,"Australia",465,"High tech development"
1975,"Belgium",290,"High-med tech development"
1975,"Bulgaria",10,"Low tech development"
1975,"Brazil",86,"High-med tech development"
1975,"Canada",427,"High tech development"
1975,"Switzerland",314,"High-med tech development"
1975,NA,45,"Low-med tech development"
1975,NA,59,"High-med tech development"
1975,"Denmark",174,"High-med tech development"
1975,"Spain",146,"High-med tech development"
1975,"Finland",34,"Low-med tech development"
1975,"Hungary",15,"Low tech development"
1975,"Ireland",20,"Low-med tech development"
1975,"Israel",52,"Low-med tech development"
1975,"India",1,"Low tech development"
1975,"Italy",318,"High tech development"
1975,"Japan",1680,"High tech development"
1975,"Luxembourg",24,"Low-med tech development"
1975,"Monaco",1,"Low tech development"
1975,"Malaysia",7,"Low tech development"
1975,"Netherlands",612,"High tech development"
1975,"Norway",115,"High-med tech development"
1975,NA,1,"Low tech development"
1975,"Poland",24,"Low-med tech development"
1975,"Romania",7,"Low tech development"
1975,"Sweden",513,"High tech development"
1975,NA,27,"Low-med tech development"
1975,"Turkey",6,"Low tech development"
1975,"United States",2235,"High tech development"
1975,NA,2,"Low tech development"
1975,"South Africa",57,"Low-med tech development"
1976,"Argentina",31,"Low-med tech development"
1976,"Austria",174,"High-med tech development"
1976,"Australia",435,"High tech development"
1976,"Belgium",269,"High-med tech development"
1976,"Bulgaria",8,"Low tech development"
1976,"Brazil",152,"High-med tech development"
1976,"Canada",549,"High tech development"
1976,"Switzerland",276,"High-med tech development"
1976,NA,31,"Low-med tech development"
1976,"Cyprus",1,"Low tech development"
1976,NA,40,"High-med tech development"
1976,"Denmark",155,"High-med tech development"
1976,"Egypt",1,"Low tech development"
1976,"Spain",350,"High tech development"
1976,"Finland",34,"Low-med tech development"
1976,"Hong Kong SAR China",23,"Low-med tech development"
1976,"Hungary",12,"Low tech development"
1976,"Ireland",21,"Low-med tech development"
1976,"Israel",45,"High-med tech development"
1976,"India",14,"Low-med tech development"
1976,"Italy",307,"High tech development"
1976,"Japan",1912,"High tech development"
1976,"Luxembourg",13,"Low-med tech development"
1976,"Malaysia",1,"Low tech development"
1976,"Netherlands",528,"High tech development"
1976,"Norway",77,"High-med tech development"
1976,"Poland",21,"Low-med tech development"
1976,"Portugal",5,"Low tech development"
1976,"Romania",9,"Low tech development"
1976,"Sweden",503,"High tech development"
1976,NA,33,"Low-med tech development"
1976,"Turkey",1,"Low tech development"
1976,"United States",2283,"High tech development"
1976,NA,6,"Low tech development"
1976,"South Africa",66,"High-med tech development"
1977,"Argentina",14,"Low-med tech development"
1977,"Austria",229,"High-med tech development"
1977,"Australia",252,"High tech development"
1977,"Belgium",222,"High-med tech development"
1977,"Bulgaria",1,"Low tech development"
1977,"Brazil",106,"High-med tech development"
1977,"Canada",609,"High tech development"
1977,"Switzerland",241,"High-med tech development"
1977,NA,23,"Low-med tech development"
1977,"Cuba",1,"Low tech development"
1977,NA,27,"Low-med tech development"
1977,"Denmark",144,"High-med tech development"
1977,"Spain",304,"High tech development"
1977,"Finland",31,"High-med tech development"
1977,"Hong Kong SAR China",19,"Low-med tech development"
1977,"Hungary",23,"Low-med tech development"
1977,"Ireland",23,"Low-med tech development"
1977,"Israel",38,"High-med tech development"
1977,"India",18,"Low-med tech development"
1977,"Italy",283,"High tech development"
1977,"Japan",2825,"High tech development"
1977,"Kenya",1,"Low tech development"
1977,"Luxembourg",26,"Low-med tech development"
1977,"Monaco",1,"Low tech development"
1977,"Malaysia",3,"Low tech development"
1977,"Netherlands",505,"High tech development"
1977,"Norway",115,"High-med tech development"
1977,"Philippines",4,"Low tech development"
1977,"Poland",16,"Low-med tech development"
