period,reporterDesc,totexports_fobvalue,import_count_tech_cap,export_count_tech_cap,import_count_tech_cap_china,export_count_tech_cap_china,import_count_tech_cap_usa,export_count_tech_cap_usa,most_frequent_imp_partner,most_frequent_exp_partner,Region,IDIT,IDIT_China,IDIT_USA
1990,Japan,492438993371,9990,46916,296,629,666,703,USA,"Other Asia, nes",Eastern Asia,-369.6296296296296,-112.5,-5.555555555555555
1990,Madagascar,9831714,5180,407,185,0,296,0,France,"Areas, nes",Eastern Africa,92.14285714285714,100,100
1990,Malawi,100625533,5365,1517,0,0,333,37,Southern African Customs Union (...1999),"Areas, nes",Eastern Africa,71.72413793103448,NA,88.88888888888889
1990,Malaysia,1022388884,13949,6882,518,148,629,296,Fed. Rep. of Germany (...1990),Singapore,South-Eastern Asia,50.663129973474796,71.42857142857143,52.94117647058824
1990,Mexico,5094941699,9546,5291,333,0,703,703,USA,USA,Central America,44.57364341085272,100,0
1990,New Zealand,1997056241,8621,10878,296,74,629,407,Australia,Australia,Australia and New Zealand,-26.180257510729614,75,35.294117647058826
1990,Oman,158816802,5291,1110,74,0,333,37,United Kingdom,United Arab Emirates,Western Asia,79.02097902097903,100,88.88888888888889
1990,Paraguay,27191763,5402,110,0,0,555,0,Argentina,Brazil,South America,97.96371714179934,NA,100
1990,Portugal,13998209427,11433,7077,148,0,592,73,Fed. Rep. of Germany (...1990),Spain,Southern Europe,38.100236158488585,100,87.66891891891892
1990,Rep. of Korea,14910073705,9620,13357,370,370,703,518,Fed. Rep. of Germany (...1990),"Areas, nes",Eastern Asia,-38.84615384615385,0,26.31578947368421
1990,Romania,5207935000,2035,2664,37,148,37,37,Fed. Rep. of Germany (...1990),USSR (...1990),Eastern Europe,-30.909090909090907,-300,0
1990,Singapore,9286567803,15799,17612,555,481,666,481,Fed. Rep. of Germany (...1990),Malaysia,South-Eastern Asia,-11.475409836065573,13.333333333333334,27.77777777777778
1990,Spain,51275473237,14282,22607,148,74,629,444,Fed. Rep. of Germany (...1990),Italy,Southern Europe,-58.2901554404145,50,29.411764705882355
1990,Sri Lanka,294363305,6327,1147,333,0,370,37,United Kingdom,"Areas, nes",Southern Asia,81.87134502923976,100,90
1990,Switzerland,27664742750,11692,29341,111,259,629,555,Austria,Fed. Rep. of Germany (...1990),Western Europe,-150.9493670886076,-133.33333333333331,11.76470588235294
1990,Thailand,987243990,10841,5143,481,148,666,148,Japan,Singapore,South-Eastern Asia,52.55972696245734,69.23076923076923,77.77777777777779
1990,Türkiye,800239034,8584,5032,111,0,592,185,Fed. Rep. of Germany (...1990),Cyprus,Western Asia,41.37931034482759,100,68.75
1991,Australia,5185607461,11655,18463,370,407,703,555,USA,New Zealand,Australia and New Zealand,-58.41269841269842,-10,21.052631578947366
1991,Bangladesh,65755179,4921,111,407,0,296,0,China,Singapore,Southern Asia,97.74436090225564,100,100
1991,Brazil,27098369875,7548,19462,74,37,629,481,Italy,Venezuela,South America,-157.84313725490196,50,23.52941176470588
1991,Canada,265296724972,10175,23051,259,296,703,703,United Kingdom,USA,Northern America,-126.54545454545453,-14.285714285714285,0
1991,Chile,525748651,11174,2331,222,0,703,74,USA,Argentina,South America,79.13907284768213,100,89.47368421052632
1991,"China, Macao SAR",41207677,1961,518,148,185,222,0,Japan,China,Eastern Asia,73.58490566037736,-25,100
1991,Colombia,573274929,7622,3663,37,0,703,370,USA,Ecuador,South America,51.94174757281553,100,47.368421052631575
1991,Cyprus,352683630,7141,2331,74,0,518,0,Germany,Lebanon,Western Asia,67.35751295336787,100,100
1991,Denmark,30238794640,11322,30895,185,222,555,555,Germany,Belgium-Luxembourg (...1998),Northern Europe,-172.87581699346407,-20,0
1991,Ecuador,185000,7622,37,37,0,666,37,USA,USA,South America,99.51456310679612,100,94.44444444444444
1991,Finland,19842262949,10064,18167,111,222,555,407,Germany,Sweden,Northern Europe,-80.51470588235294,-100,26.666666666666668
1991,Germany,445268949336,20868,59570,333,592,703,703,Austria,Austria,Western Europe,-185.46099290780143,-77.77777777777779,0
1991,Guyana,0,3737,0,74,0,592,0,USA,NA,South America,100,100,100
1991,Iceland,53569044,6179,777,37,0,481,37,Sweden,Norway,Northern Europe,87.42514970059881,100,92.3076923076923
1991,India,2190593103,5735,10360,0,0,592,333,Germany,Sri Lanka,Southern Asia,-80.64516129032258,NA,43.75
1991,Indonesia,179840794,12617,1258,518,0,666,111,Japan,Singapore,South-Eastern Asia,90.02932551319648,100,83.33333333333334
1991,Jamaica,4308465,3589,259,0,0,666,74,USA,Free Zones,Caribbean,92.78350515463917,NA,88.88888888888889
1991,Japan,499319039882,9990,45991,370,666,666,703,USA,"Other Asia, nes",Eastern Asia,-360.3703703703704,-80,-5.555555555555555
1991,Madagascar,16056298,4699,481,111,0,259,0,France,"Areas, nes",Eastern Africa,89.76377952755905,100,100
1991,Malawi,38448217,4958,1110,0,0,296,37,Southern African Customs Union (...1999),"Areas, nes",Eastern Africa,77.61194029850746,NA,87.5
1991,Malaysia,1410643278,12876,7363,555,74,629,370,Japan,Singapore,South-Eastern Asia,42.81609195402299,86.66666666666667,41.17647058823529
1991,Mexico,9393451146,10360,6586,111,0,703,629,Germany,USA,Central America,36.42857142857142,100,10.526315789473683
1991,New Zealand,1692621351,8732,11914,296,111,592,370,Australia,Australia,Australia and New Zealand,-36.440677966101696,62.5,37.5
1991,Oman,276718523,5846,1369,37,0,444,37,United Arab Emirates,United Arab Emirates,Western Asia,76.58227848101265,100,91.66666666666666
1991,Paraguay,2919035,4736,73,0,0,481,0,USA,Argentina,South America,98.45861486486487,NA,100
1991,Portugal,15047406835,10545,7905,74,37,518,146,Germany,Spain,Southern Europe,25.03556187766714,50,71.81467181467181
1991,Rep. of Korea,17585918145,10323,14245,333,407,703,592,Germany,USA,Eastern Asia,-37.992831541218635,-22.22222222222222,15.789473684210526
1991,Romania,3797083301,5402,4588,111,148,111,74,Germany,USSR (...1990),Eastern Europe,15.068493150684931,-33.33333333333333,33.33333333333333
1991,Saudi Arabia,2949583797,9768,6179,259,37,666,111,"Areas, nes",Yemen,Western Asia,36.74242424242424,85.71428571428571,83.33333333333334
1991,Singapore,11487234489,15429,17427,518,481,703,407,USA,Malaysia,South-Eastern Asia,-12.949640287769784,7.142857142857142,42.10526315789473
1991,Spain,41868506398,13468,23384,148,37,629,518,Germany,Portugal,Southern Europe,-73.62637362637363,75,17.647058823529413
1991,Sri Lanka,383405433,7178,1110,407,0,555,0,United Kingdom,"Areas, nes",Southern Asia,84.5360824742268,100,100
1991,Switzerland,28090557472,12136,28120,222,222,666,555,France,France,Western Europe,-131.70731707317074,0,16.666666666666664
1991,Thailand,742233838,10360,5846,481,148,629,296,Japan,Malaysia,South-Eastern Asia,43.57142857142857,69.23076923076923,52.94117647058824
1991,Trinidad and Tobago,42603354,3552,1258,37,0,0,0,"Areas, nes","Areas, nes",Caribbean,64.58333333333334,100,NA
1991,Tunisia,288872098,8325,962,111,0,370,37,France,Libya,Northern Africa,88.44444444444444,100,90
1991,Türkiye,894197130,8732,5698,148,0,555,74,Germany,"Areas, nes",Western Asia,34.74576271186441,100,86.66666666666667
1991,USA,370127054337,17538,62715,444,666,0,0,Canada,Australia,Northern America,-257.59493670886076,-50,NA
1991,United Arab Emirates,0,4403,0,148,0,259,0,Germany,NA,Western Asia,100,100,100
1992,Algeria,113433205,6586,478,74,0,481,0,France,Morocco,Northern Africa,92.74218038262983,100,100
1992,Australia,7725645399,12432,20905,370,370,666,555,USA,Singapore,Australia and New Zealand,-68.15476190476191,0,16.666666666666664
1992,Bangladesh,246276144,3885,333,185,0,259,0,India,France,Southern Asia,91.42857142857143,100,100
1992,Belize,37695822,2368,703,74,0,629,259,USA,USA,Central America,70.3125,100,58.82352941176471
1992,Bolivia (Plurinational State of),97726879,8140,925,74,0,629,74,USA,Argentina,South America,88.63636363636364,100,88.23529411764706
1992,Brazil,39273421414,7548,20202,74,37,703,481,USA,Argentina,South America,-167.64705882352942,50,31.57894736842105
1992,Brunei Darussalam,0,3996,0,37,0,481,0,Japan,NA,South-Eastern Asia,100,100,100
1992,Canada,323955590241,10434,24679,296,370,703,703,USA,USA,Northern America,-136.52482269503545,-25,0
1992,Chile,489757789,10952,2590,222,0,703,222,USA,Bolivia (Plurinational State of),South America,76.35135135135135,100,68.42105263157895
1992,China,7054341375,13912,25382,0,0,666,518,"China, Hong Kong SAR","China, Hong Kong SAR",Eastern Asia,-82.4468085106383,NA,22.22222222222222
1992,"China, Macao SAR",207624316,2405,666,296,222,222,0,"Areas, nes","China, Hong Kong SAR",Eastern Asia,72.3076923076923,25,100
1992,Colombia,389771394,9102,3219,74,0,703,222,USA,Venezuela,South America,64.63414634146342,100,68.42105263157895
1992,Croatia,758230344,6105,3996,37,0,259,37,Germany,Slovenia,Southern Europe,34.54545454545455,100,85.71428571428571
1992,Cyprus,232718160,7955,2220,259,37,555,0,Italy,"Areas, nes",Western Asia,72.09302325581395,85.71428571428571,100
1992,Denmark,30841120785,11063,32116,185,259,518,518,Germany,France,Northern Europe,-190.30100334448161,-40,0
1992,Ecuador,10696256,7437,555,37,0,703,0,USA,Colombia,South America,92.53731343283582,100,100
1992,Finland,22130224549,10434,22311,222,333,555,592,Germany,Russian Federation,Northern Europe,-113.82978723404256,-50,-6.666666666666667
1992,Germany,448732042480,22126,63196,333,629,703,703,Austria,Austria,Western Europe,-185.61872909698997,-88.88888888888889,0
1992,Greece,368067971,12321,5402,111,0,666,148,Germany,Cyprus,Southern Europe,56.15615615615616,100,77.77777777777779
1992,Guyana,0,3848,0,74,0,629,0,USA,NA,South America,100,100,100
1992,Hungary,3593773000,10471,7955,148,111,555,185,Germany,Czechoslovakia (...1992),Eastern Europe,24.02826855123675,25,66.66666666666666
1992,Iceland,86519986,5846,814,0,0,407,37,Germany,Norway,Northern Europe,86.07594936708861,NA,90.9090909090909
1992,India,2378825682,6290,12765,148,37,518,296,Germany,United Arab Emirates,Southern Asia,-102.94117647058823,75,42.857142857142854
1992,Indonesia,273538669,11766,1887,592,0,666,37,Australia,Singapore,South-Eastern Asia,83.9622641509434,100,94.44444444444444
1992,Ireland,4822478620,10508,7363,37,37,629,444,United Kingdom,United Kingdom,Northern Europe,29.929577464788732,0,29.411764705882355
1992,Jamaica,295963,3404,74,0,0,666,74,USA,USA,Caribbean,97.82608695652173,NA,88.88888888888889
1992,Japan,568918867866,9990,46398,259,666,703,703,USA,"Other Asia, nes",Eastern Asia,-364.44444444444446,-157.14285714285714,0
1992,Kenya,65425324,7363,1073,259,0,518,0,United Kingdom,United Rep. of Tanzania,Eastern Africa,85.42713567839196,100,100
1992,Madagascar,3873863,4070,259,111,0,333,0,France,United Arab Emirates,Eastern Africa,93.63636363636364,100,100
1992,Malaysia,2108331151,13061,8288,555,259,703,444,USA,Singapore,South-Eastern Asia,36.54390934844193,53.333333333333336,36.84210526315789
1992,Mexico,26221789000,10175,6290,148,0,703,703,USA,USA,Central America,38.18181818181819,100,0
1992,Myanmar,56042124,2849,148,222,0,185,0,Japan,Canada,South-Eastern Asia,94.8051948051948,100,100
1992,Netherlands,105320263274,16613,42698,222,296,592,666,Belgium-Luxembourg (...1998),Belgium-Luxembourg (...1998),Western Europe,-157.01559020044544,-33.33333333333333,-12.5
1992,New Zealand,2057129552,8991,12728,333,74,629,370,Australia,Australia,Australia and New Zealand,-41.56378600823045,77.77777777777779,41.17647058823529
1992,Oman,282502807,6401,1480,74,0,481,74,United Arab Emirates,United Arab Emirates,Western Asia,76.878612716763,100,84.61538461538461
1992,Paraguay,2978848,4921,293,0,0,407,0,Brazil,Argentina,South America,94.045925624872993,NA,100
1992,Peru,70362276,8399,1132,296,0,666,255,USA,USA,South America,86.52220502440767,100,61.711711711711715
1992,Portugal,15776669934,11285,7481,37,0,629,146,France,Spain,Southern Europe,33.708462560921575,100,76.7885532591415
1992,Rep. of Korea,22751242613,10878,15947,481,407,703,481,Germany,"Areas, nes",Eastern Asia,-46.59863945578231,15.384615384615385,31.57894736842105
1992,Romania,2792892682,7992,5550,148,148,370,74,Germany,Germany,Eastern Europe,30.555555555555557,0,80
1992,Saint Lucia,64962602,2109,851,37,0,555,74,USA,"Areas, nes",Caribbean,59.64912280701754,100,86.66666666666667
1992,Saudi Arabia,4078680422,15244,5920,518,0,703,296,Germany,Kuwait,Western Asia,61.165048543689316,100,57.89473684210527
1992,Singapore,10981696570,14726,19203,481,481,666,444,Japan,Malaysia,South-Eastern Asia,-30.402010050251256,0,33.33333333333333
1992,Spain,51740248071,13912,25197,148,259,629,481,Germany,Germany,Southern Europe,-81.11702127659575,-75,23.52941176470588
1992,Sri Lanka,18618955,7474,925,444,0,555,37,United Kingdom,"Areas, nes",Southern Asia,87.62376237623762,100,93.33333333333333
1992,Sweden,115719364578,13949,34225,296,296,666,592,Germany,Finland,Northern Europe,-145.35809018567642,0,11.11111111111111
1992,Switzerland,30341680170,11618,30229,111,333,666,555,Germany,Germany,Western Europe,-160.19108280254778,-200,16.666666666666664
1992,Thailand,1491103293,10545,6660,555,370,629,185,Japan,Japan,South-Eastern Asia,36.84210526315789,33.33333333333333,70.58823529411765
1992,Trinidad and Tobago,31627008,3256,999,74,0,629,111,USA,"Areas, nes",Caribbean,69.31818181818183,100,82.35294117647058
1992,Tunisia,170213172,8288,1369,148,0,407,37,France,Italy,Northern Africa,83.48214285714286,100,90.9090909090909
1992,Türkiye,938504852,9620,6771,222,0,629,74,Germany,Cyprus,Western Asia,29.615384615384617,100,88.23529411764706
1992,USA,366680970315,17316,62937,555,703,0,0,Canada,Australia,Northern America,-263.46153846153845,-26.666666666666668,NA
1992,United Arab Emirates,0,5143,0,111,0,407,0,USA,NA,Western Asia,100,100,100
1993,Algeria,14698398,6623,296,185,0,481,0,France,Morocco,Northern Africa,95.53072625698324,100,100
1993,Argentina,4626441076,10730,5180,222,37,666,333,USA,Chile,South America,51.724137931034484,83.33333333333334,50
1993,Australia,8220595805,13468,20091,444,444,703,555,USA,New Zealand,Australia and New Zealand,-49.175824175824175,0,21.052631578947366
1993,Bangladesh,232345792,4144,148,296,37,259,0,India,China,Southern Asia,96.42857142857143,87.5,100
1993,Belize,48447689,2886,703,185,0,592,222,USA,USA,Central America,75.64102564102564,100,62.5
1993,Bhutan,2738,962,37,0,0,37,0,India,"Areas, nes",Southern Asia,96.15384615384616,NA,100
1993,Bolivia (Plurinational State of),179464356,7733,1221,222,0,629,74,USA,Argentina,South America,84.21052631578947,100,88.23529411764706
1993,Brazil,37098733168,8806,21312,185,111,703,555,Italy,Paraguay,South America,-142.01680672268907,40,21.052631578947366
1993,Brunei Darussalam,0,4625,0,222,0,407,0,Singapore,NA,South-Eastern Asia,100,100,100
1993,Burundi,142376,2849,74,111,0,111,0,Belgium-Luxembourg (...1998),Belgium-Luxembourg (...1998),Eastern Africa,97.40259740259741,100,100
1993,Canada,344329038732,11100,26381,370,481,703,703,USA,USA,Northern America,-137.66666666666666,-30,0
1993,Central African Rep.,15265460,1924,296,111,0,111,37,France,France,Middle Africa,84.61538461538461,100,66.66666666666666
1993,Chile,1214404195,11729,2479,185,0,666,222,USA,Argentina,South America,78.86435331230284,100,66.66666666666666
1993,China,8905566963,15059,26344,0,0,703,592,Japan,"China, Hong Kong SAR",Eastern Asia,-74.93857493857494,NA,15.789473684210526
1993,"China, Hong Kong SAR",30395907999,9842,8399,629,703,629,185,China,China,Eastern Asia,14.661654135338345,-11.76470588235294,70.58823529411765
1993,"China, Macao SAR",64881276,2220,703,222,222,259,37,Japan,"China, Hong Kong SAR",Eastern Asia,68.33333333333333,0,85.71428571428571
1993,Colombia,370679135,9472,3256,222,0,703,222,USA,Ecuador,South America,65.625,100,68.42105263157895
1993,Congo,5043026,1850,148,74,0,111,0,France,Angola,Middle Africa,92,100,100
1993,Croatia,327893963,7067,3848,37,0,407,111,Germany,Slovenia,Southern Europe,45.54973821989529,100,72.72727272727273
1993,Cyprus,236776986,7252,2109,148,0,407,0,United Kingdom,Greece,Western Asia,70.91836734693877,100,100
1993,Czechia,16048478383,12321,17020,74,111,555,370,Germany,Slovakia,Eastern Europe,-38.13813813813814,-50,33.33333333333333
1993,Denmark,27168402291,11914,33522,185,222,555,555,Germany,Norway,Northern Europe,-181.3664596273292,-20,0
1993,Dominica,8651895,1554,185,0,0,407,0,USA,Grenada,Caribbean,88.09523809523809,NA,100
1993,Ecuador,281422814,7807,888,111,0,666,74,USA,Colombia,South America,88.62559241706161,100,88.88888888888889
1993,Finland,21460511414,10286,24531,111,222,555,555,Germany,Sweden,Northern Europe,-138.48920863309354,-100,0
1993,Gabon,102875540,3515,814,0,0,407,111,France,France,Middle Africa,76.84210526315789,NA,72.72727272727273
1993,Germany,349857053480,22459,65231,370,666,703,703,Austria,Austria,Western Europe,-190.44481054365733,-80,0
1993,Greece,904738171,12099,6956,148,0,592,111,Germany,Germany,Southern Europe,42.50764525993883,100,81.25
1993,Grenada,455211,1369,74,0,0,444,37,USA,Netherlands Antilles (...2010),Caribbean,94.5945945945946,NA,91.66666666666666
1993,Guatemala,30824996,7400,1110,111,0,703,37,USA,"Areas, nes",Central America,85,100,94.73684210526315
1993,Hungary,3122541000,13727,8695,111,0,518,185,Austria,Austria,Eastern Europe,36.65768194070081,100,64.28571428571429
1993,Iceland,142983651,6031,740,74,0,518,37,United Kingdom,Germany,Northern Europe,87.73006134969326,100,92.85714285714286
1993,India,2298315976,7030,14282,185,0,592,444,Germany,Sri Lanka,Southern Asia,-103.15789473684211,100,25
1993,Indonesia,286940180,11507,2331,518,74,666,37,Japan,Singapore,South-Eastern Asia,79.7427652733119,85.71428571428571,94.44444444444444
1993,Ireland,4227184288,9768,7252,148,37,666,407,United Kingdom,United Kingdom,Northern Europe,25.757575757575758,75,38.88888888888889
1993,Jamaica,670440,4477,111,37,0,666,111,USA,USA,Caribbean,97.52066115702479,100,83.33333333333334
1993,Japan,567198464436,10286,45325,370,666,703,666,USA,Rep. of Korea,Eastern Asia,-340.6474820143885,-80,5.263157894736842
1993,Madagascar,7563133,4958,222,370,0,370,0,France,Comoros,Eastern Africa,95.52238805970148,100,100
1993,Malaysia,3011597869,12950,8362,518,407,666,296,Japan,Singapore,South-Eastern Asia,35.42857142857142,21.428571428571427,55.55555555555556
1993,Mauritius,137492925,6031,1110,148,0,370,37,France,Southern African Customs Union (...1999),Eastern Africa,81.59509202453987,100,90
1993,Mexico,29478899888,9546,6290,185,74,703,703,USA,USA,Central America,34.10852713178294,60,0
1993,Morocco,12584292,7770,444,222,0,481,0,France,Algeria,Northern Africa,94.28571428571428,100,100
1993,Netherlands,75065297969,17390,43475,222,333,666,555,Germany,Belgium-Luxembourg (...1998),Western Europe,-150,-50,16.666666666666664
1993,New Zealand,2681672088,9509,12691,370,148,555,444,Australia,Australia,Australia and New Zealand,-33.46303501945525,60,20
1993,Nicaragua,20812759,4884,851,0,0,629,111,USA,Costa Rica,Central America,82.57575757575758,NA,82.35294117647058
1993,Norway,7236848352,12284,14800,111,74,592,407,Germany,Sweden,Northern Europe,-20.481927710843372,33.33333333333333,31.25
1993,Oman,611940373,6697,1665,74,0,518,37,United Arab Emirates,United Arab Emirates,Western Asia,75.13812154696133,100,92.85714285714286
1993,Paraguay,11829363,5365,110,0,0,518,0,Brazil,Argentina,South America,97.94967381174277,NA,100
1993,Portugal,7652209225,10841,7078,111,0,629,73,Germany,Spain,Southern Europe,34.710820035052116,100,88.39427662957074
1993,Rep. of Korea,30434917321,10693,18315,370,518,703,592,Germany,USA,Eastern Asia,-71.280276816609,-40,15.789473684210526
1993,Romania,3055640819,9953,6919,222,74,481,74,Germany,"Areas, nes",Eastern Europe,30.483271375464682,66.66666666666666,84.61538461538461
1993,Saint Kitts and Nevis,24778197,1850,333,0,0,555,74,USA,Trinidad and Tobago,Caribbean,82,NA,86.66666666666667
1993,Saint Lucia,46648749,2294,629,0,0,555,148,USA,USA,Caribbean,72.58064516129032,NA,73.33333333333333
1993,Saint Vincent and the Grenadines,14346417,2072,666,0,0,481,148,USA,USA,Caribbean,67.85714285714286,NA,69.23076923076923
1993,Saudi Arabia,1807406636,16058,5365,407,37,703,259,Germany,United Arab Emirates,Western Asia,66.58986175115207,90.9090909090909,63.1578947368421
1993,Singapore,11505772081,15725,18500,555,555,666,407,Japan,Malaysia,South-Eastern Asia,-17.647058823529413,0,38.88888888888889
1993,Spain,43176335038,14430,27417,111,296,703,592,France,Portugal,Southern Europe,-90,-166.66666666666669,15.789473684210526
1993,Sri Lanka,77969027,8251,1295,333,74,518,111,India,Maldives,Southern Asia,84.30493273542601,77.77777777777779,78.57142857142857
1993,Sweden,89016550381,12802,35557,296,370,592,555,United Kingdom,Germany,Northern Europe,-177.7456647398844,-25,6.25
1993,Switzerland,29041958933,11359,30599,148,296,629,555,Germany,France,Western Europe,-169.38110749185668,-100,11.76470588235294
