"pub_year","country_name","patent_count","country_yearly_relative_position"
1902,"Austria",2,"Low tech development"
1902,"Sweden",59,"Low-med tech development"
1902,"United States",1344,"High tech development"
1903,"Austria",2,"Low tech development"
1903,"Sweden",64,"Low-med tech development"
1903,"United States",1590,"High tech development"
1904,"Sweden",101,"Low tech development"
1904,"United States",1525,"High-med tech development"
1905,"Austria",1,"Low tech development"
1905,"Switzerland",1,"Low tech development"
1905,"Sweden",58,"Low-med tech development"
1905,"United States",1603,"High tech development"
1906,"Switzerland",1,"Low tech development"
1906,"Sweden",74,"Low-med tech development"
1906,"United States",1628,"High tech development"
1907,"Sweden",114,"Low tech development"
1907,"United States",1822,"High-med tech development"
1908,"Austria",1,"Low tech development"
1908,"Sweden",139,"Low-med tech development"
1908,"United States",1775,"High tech development"
1909,"Austria",1,"Low tech development"
1909,"Switzerland",1,"Low tech development"
1909,"Sweden",118,"Low-med tech development"
1909,"United States",1771,"High tech development"
1910,"Austria",2,"Low-med tech development"
1910,"Australia",1,"Low tech development"
1910,"Denmark",1,"Low tech development"
1910,"Sweden",142,"Low-med tech development"
1910,"United States",1843,"High tech development"
1911,"Austria",3,"Low tech development"
1911,"Sweden",158,"Low-med tech development"
1911,"United States",1704,"High tech development"
1912,"Austria",3,"Low-med tech development"
1912,"Canada",1,"Low tech development"
1912,"Switzerland",2,"Low tech development"
1912,"Sweden",137,"Low-med tech development"
1912,"United States",1864,"High tech development"
1913,"Austria",5,"High-med tech development"
1913,"Australia",2,"Low tech development"
1913,"Switzerland",3,"Low-med tech development"
1913,"Denmark",1,"Low tech development"
1913,"Netherlands",3,"Low-med tech development"
1913,"Sweden",126,"High-med tech development"
1913,"United States",1680,"High tech development"
1914,"Austria",5,"Low-med tech development"
1914,"Australia",4,"Low-med tech development"
1914,"Switzerland",1,"Low tech development"
1914,"Denmark",1,"Low tech development"
1914,"Netherlands",20,"High-med tech development"
1914,"Sweden",116,"High-med tech development"
1914,"United States",1987,"High tech development"
1915,"Austria",6,"Low-med tech development"
1915,"Australia",2,"Low tech development"
1915,"Denmark",2,"Low tech development"
1915,"Netherlands",15,"High-med tech development"
1915,"Sweden",7,"Low-med tech development"
1915,"United States",1898,"High tech development"
1916,"Australia",1,"Low tech development"
1916,"Switzerland",1,"Low tech development"
1916,"Netherlands",23,"Low-med tech development"
1916,"Sweden",1,"Low-med tech development"
1916,"United States",2152,"High tech development"
1917,"Austria",1,"Low tech development"
1917,"Switzerland",1,"Low tech development"
1917,"Denmark",1,"Low-med tech development"
1917,"Netherlands",9,"Low-med tech development"
1917,"United States",1875,"High tech development"
1918,"Switzerland",2,"Low-med tech development"
1918,"Denmark",1,"Low tech development"
1918,"Netherlands",1,"Low tech development"
1918,"United States",1723,"High tech development"
1919,"Austria",5,"Low-med tech development"
1919,"Switzerland",1,"Low tech development"
1919,"Netherlands",9,"Low-med tech development"
1919,"Sweden",1,"Low tech development"
1919,"United States",1417,"High tech development"
1920,"Austria",1,"Low tech development"
1920,"Switzerland",108,"High-med tech development"
1920,"Denmark",3,"Low-med tech development"
1920,"Netherlands",1,"Low tech development"
1920,"Sweden",41,"Low-med tech development"
1920,"United States",1554,"High tech development"
1921,"Austria",3,"Low-med tech development"
1921,"Canada",1,"Low tech development"
1921,"Switzerland",85,"Low-med tech development"
1921,"Netherlands",1,"Low tech development"
1921,"United States",1451,"High tech development"
1922,"Austria",2,"Low tech development"
1922,"Switzerland",87,"Low-med tech development"
1922,"Netherlands",1,"Low tech development"
1922,"United States",1358,"High tech development"
1923,"Canada",1,"Low tech development"
1923,"Switzerland",120,"Low-med tech development"
1923,"Netherlands",1,"Low tech development"
1923,"United States",1516,"High tech development"
1924,"Austria",1,"Low tech development"
1924,"Switzerland",86,"Low-med tech development"
1924,"United States",1534,"High tech development"
1925,"Austria",4,"Low-med tech development"
1925,"Belgium",4,"High-med tech development"
1925,"Canada",1,"Low tech development"
1925,"Switzerland",93,"High-med tech development"
1925,"Denmark",1,"Low tech development"
1925,"Netherlands",2,"Low-med tech development"
1925,"United States",1673,"High tech development"
1926,"Austria",6,"Low-med tech development"
1926,"Belgium",13,"High-med tech development"
1926,"Switzerland",101,"High-med tech development"
1926,"Denmark",2,"Low tech development"
1926,"Netherlands",3,"Low-med tech development"
1926,"Sweden",1,"Low tech development"
1926,"United States",1478,"High tech development"
1927,"Austria",1,"Low tech development"
1927,"Belgium",8,"Low-med tech development"
1927,"Switzerland",86,"Low-med tech development"
1927,"Sweden",2,"Low tech development"
1927,"United States",1419,"High tech development"
1928,"Belgium",24,"Low-med tech development"
1928,"Canada",1,"Low tech development"
1928,"Switzerland",109,"High-med tech development"
1928,"Finland",1,"Low tech development"
1928,"Sweden",1,"Low-med tech development"
1928,"United States",1047,"High-med tech development"
1929,"Austria",1,"Low tech development"
1929,"Belgium",18,"High-med tech development"
1929,"Switzerland",76,"High-med tech development"
1929,"Denmark",2,"Low-med tech development"
1929,"Netherlands",1,"Low tech development"
1929,"Sweden",1,"Low-med tech development"
1929,"United States",1307,"High tech development"
1930,"Austria",3,"Low-med tech development"
1930,"Australia",1,"Low tech development"
1930,"Belgium",15,"Low-med tech development"
1930,"Canada",2,"Low tech development"
1930,"Switzerland",89,"High-med tech development"
1930,"Denmark",5,"Low-med tech development"
1930,"Spain",2,"Low tech development"
1930,"Sweden",39,"High-med tech development"
1930,"United States",1307,"High tech development"
1931,"Austria",5,"Low-med tech development"
1931,"Australia",1,"Low tech development"
1931,"Belgium",23,"High-med tech development"
1931,"Switzerland",97,"High-med tech development"
1931,"Denmark",2,"Low tech development"
1931,"Spain",2,"Low tech development"
1931,"Netherlands",2,"Low-med tech development"
1931,"United States",1539,"High tech development"
1932,"Austria",3,"Low-med tech development"
1932,"Belgium",16,"Low-med tech development"
1932,"Switzerland",114,"High-med tech development"
1932,"Denmark",1,"Low tech development"
1932,"Netherlands",1,"Low tech development"
1932,"United States",1643,"High tech development"
1933,"Austria",6,"Low-med tech development"
1933,"Belgium",14,"Low-med tech development"
1933,"Switzerland",116,"High-med tech development"
1933,"Denmark",2,"Low tech development"
1933,"Spain",1,"Low tech development"
1933,"United States",1248,"High tech development"
1934,"Belgium",11,"Low-med tech development"
1934,"Switzerland",115,"Low-med tech development"
1934,"Denmark",1,"Low tech development"
1934,"Netherlands",1,"Low tech development"
1934,"United States",958,"High-med tech development"
1935,"Austria",4,"Low-med tech development"
1935,"Belgium",11,"High-med tech development"
1935,"Canada",1,"Low tech development"
1935,"Switzerland",129,"High-med tech development"
1935,"Spain",2,"Low-med tech development"
1935,"Sweden",1,"Low tech development"
1935,"United States",912,"High tech development"
1936,"Austria",1,"Low tech development"
1936,"Belgium",8,"High-med tech development"
1936,"Canada",1,"Low tech development"
1936,"Switzerland",116,"High-med tech development"
1936,"Spain",1,"Low tech development"
1936,"Netherlands",3,"Low-med tech development"
1936,"Sweden",2,"Low-med tech development"
1936,"United States",858,"High tech development"
1937,"Austria",4,"Low-med tech development"
1937,"Belgium",14,"High-med tech development"
1937,"Switzerland",117,"High-med tech development"
1937,"Denmark",1,"Low tech development"
1937,"Spain",1,"Low tech development"
1937,"Netherlands",1,"Low tech development"
1937,"Sweden",1,"Low-med tech development"
1937,"United States",807,"High tech development"
1938,"Belgium",10,"Low-med tech development"
1938,"Canada",1,"Low tech development"
1938,"Switzerland",103,"Low-med tech development"
1938,"Netherlands",5,"Low tech development"
1938,"United States",791,"High tech development"
1939,"Austria",2,"Low tech development"
1939,"Belgium",10,"High-med tech development"
1939,"Canada",1,"Low tech development"
1939,"Switzerland",108,"High-med tech development"
1939,"Netherlands",2,"Low-med tech development"
1939,"Sweden",2,"Low-med tech development"
1939,"United States",1055,"High tech development"
1940,"Austria",2,"Low tech development"
1940,"Belgium",3,"Low tech development"
1940,"Switzerland",73,"Low-med tech development"
1940,"Sweden",32,"Low-med tech development"
1940,"United States",1097,"High tech development"
1941,"Belgium",11,"Low-med tech development"
1941,"Switzerland",104,"High-med tech development"
1941,"Denmark",2,"Low tech development"
1941,"Netherlands",2,"Low tech development"
1941,"Sweden",2,"Low-med tech development"
1941,"United States",1082,"High tech development"
1942,"Belgium",3,"Low-med tech development"
1942,"Switzerland",110,"Low-med tech development"
1942,"Denmark",2,"Low tech development"
1942,"Sweden",1,"Low tech development"
1942,"United States",846,"High tech development"
1943,"Belgium",11,"Low-med tech development"
1943,"Switzerland",80,"High-med tech development"
1943,"Denmark",2,"Low tech development"
1943,"Spain",4,"Low-med tech development"
1943,"Netherlands",1,"Low tech development"
1943,"United States",799,"High tech development"
1944,"Belgium",11,"Low-med tech development"
1944,"Switzerland",85,"High-med tech development"
1944,"Denmark",3,"Low-med tech development"
1944,"Netherlands",1,"Low tech development"
1944,"Sweden",1,"Low tech development"
1944,"United States",639,"High tech development"
1945,"Belgium",4,"High-med tech development"
1945,"Canada",1,"Low tech development"
1945,"Switzerland",90,"High-med tech development"
1945,"Denmark",2,"Low-med tech development"
1945,"Luxembourg",1,"Low tech development"
1945,"Netherlands",1,"Low-med tech development"
1945,"United States",479,"High tech development"
1946,"Belgium",21,"High-med tech development"
1946,"Canada",7,"Low-med tech development"
1946,"Switzerland",125,"High-med tech development"
1946,"Spain",5,"Low-med tech development"
1946,"Luxembourg",2,"Low tech development"
1946,"Netherlands",1,"Low tech development"
1946,"United States",366,"High tech development"
1947,"Belgium",25,"High-med tech development"
1947,"Switzerland",177,"High-med tech development"
1947,"Denmark",3,"Low-med tech development"
1947,"Spain",2,"Low-med tech development"
1947,"Netherlands",1,"Low tech development"
1947,"Sweden",1,"Low tech development"
1947,"United States",425,"High tech development"
1948,"Belgium",19,"Low-med tech development"
1948,"Switzerland",141,"High-med tech development"
1948,"Denmark",2,"Low tech development"
1948,"Spain",3,"Low tech development"
1948,"Luxembourg",3,"Low-med tech development"
1948,"Netherlands",1,"Low tech development"
1948,"Sweden",58,"High-med tech development"
1948,"United States",492,"High tech development"
1949,"Austria",4,"Low-med tech development"
1949,"Belgium",21,"High-med tech development"
1949,"Canada",1,"Low tech development"
1949,"Switzerland",139,"High-med tech development"
1949,"Denmark",3,"Low-med tech development"
1949,"Spain",2,"Low tech development"
1949,"Luxembourg",1,"Low tech development"
1949,"Netherlands",2,"Low-med tech development"
1949,"Sweden",108,"High-med tech development"
1949,"United States",968,"High tech development"
1950,"Austria",5,"Low-med tech development"
1950,"Belgium",9,"Low-med tech development"
1950,"Canada",2,"Low tech development"
1950,"Switzerland",118,"High-med tech development"
1950,"Denmark",5,"Low-med tech development"
1950,"Luxembourg",1,"Low tech development"
1950,"Netherlands",1,"Low tech development"
1950,"Sweden",82,"High-med tech development"
1950,"United States",1596,"High tech development"
1951,"Austria",22,"High-med tech development"
1951,"Belgium",6,"Low-med tech development"
1951,"Canada",1,"Low tech development"
1951,"Switzerland",168,"High-med tech development"
1951,"Denmark",8,"Low-med tech development"
1951,"Spain",3,"Low tech development"
1951,"Luxembourg",1,"Low tech development"
1951,"United States",1609,"High tech development"
1952,"Austria",28,"High-med tech development"
1952,"Belgium",6,"Low-med tech development"
1952,"Canada",1,"Low tech development"
1952,"Switzerland",159,"High-med tech development"
1952,"Spain",2,"Low tech development"
1952,"Netherlands",4,"Low tech development"
1952,"Sweden",5,"Low-med tech development"
1952,"United States",1704,"High tech development"
1953,"Austria",26,"High-med tech development"
1953,"Belgium",9,"High-med tech development"
1953,"Canada",1,"Low tech development"
1953,"Switzerland",131,"High tech development"
1953,"Denmark",4,"Low-med tech development"
1953,"Spain",1,"Low tech development"
1953,"Luxembourg",2,"Low-med tech development"
1953,"Malaysia",6,"High-med tech development"
1953,"Netherlands",3,"Low-med tech development"
1953,"Sweden",1,"Low tech development"
1953,"United States",1448,"High tech development"
1954,"Austria",19,"High-med tech development"
1954,"Belgium",8,"High-med tech development"
1954,"Canada",2,"Low tech development"
1954,"Switzerland",142,"High tech development"
1954,"Denmark",5,"Low-med tech development"
1954,"Spain",4,"Low-med tech development"
1954,"Luxembourg",4,"Low-med tech development"
1954,"Malaysia",1,"Low tech development"
1954,"Netherlands",5,"High-med tech development"
1954,"Sweden",1,"Low tech development"
1954,"United States",1254,"High tech development"
1955,"Austria",19,"High-med tech development"
1955,"Belgium",5,"Low-med tech development"
1955,"Canada",1,"Low tech development"
1955,"Switzerland",113,"High-med tech development"
1955,"Denmark",4,"Low-med tech development"
1955,"Spain",5,"High-med tech development"
1955,"Malaysia",3,"Low tech development"
1955,"Netherlands",4,"Low-med tech development"
1955,"Sweden",2,"Low tech development"
1955,"United States",1243,"High tech development"
1956,"Austria",28,"High-med tech development"
1956,"Belgium",4,"High-med tech development"
1956,"Canada",1,"Low tech development"
1956,"Switzerland",96,"High tech development"
1956,"Denmark",1,"Low tech development"
1956,"Spain",5,"High-med tech development"
1956,"Finland",1,"Low tech development"
1956,"Malaysia",2,"Low-med tech development"
1956,"Netherlands",1,"Low-med tech development"
1956,"Sweden",1,"Low-med tech development"
1956,"United States",1723,"High tech development"
1957,"Austria",41,"High-med tech development"
1957,"Belgium",5,"High-med tech development"
1957,"Canada",2,"Low tech development"
1957,"Switzerland",149,"High tech development"
1957,NA,1,"Low tech development"
1957,"Denmark",4,"Low-med tech development"
1957,"Spain",3,"Low-med tech development"
1957,"Japan",1,"Low tech development"
1957,"Luxembourg",1,"Low tech development"
1957,"Netherlands",3,"Low-med tech development"
1957,"Sweden",4,"High-med tech development"
1957,"United States",1434,"High tech development"
1958,"Austria",51,"High-med tech development"
1958,"Belgium",5,"Low-med tech development"
1958,"Canada",2,"Low tech development"
1958,"Switzerland",131,"High-med tech development"
1958,"Denmark",2,"Low tech development"
1958,"Spain",5,"Low-med tech development"
1958,"Luxembourg",2,"Low tech development"
1958,"Netherlands",2,"Low-med tech development"
1958,"United States",1394,"High tech development"
1959,"Austria",37,"High-med tech development"
1959,"Belgium",44,"High-med tech development"
1959,"Canada",1,"Low tech development"
1959,"Switzerland",180,"High tech development"
1959,"Cyprus",1,"Low tech development"
1959,"Denmark",4,"Low-med tech development"
1959,"Spain",10,"High-med tech development"
1959,"Luxembourg",3,"Low-med tech development"
1959,"Monaco",1,"Low tech development"
1959,"Malaysia",3,"Low-med tech development"
1959,"Netherlands",4,"Low-med tech development"
1959,"Sweden",2,"Low tech development"
1959,"United States",1365,"High tech development"
1960,"Austria",50,"High-med tech development"
1960,"Belgium",117,"High-med tech development"
1960,"Canada",3,"Low tech development"
1960,"Switzerland",155,"High tech development"
1960,"Cyprus",1,"Low tech development"
1960,"Denmark",3,"Low-med tech development"
1960,"Spain",26,"High-med tech development"
1960,"Iceland",1,"Low tech development"
1960,"Italy",1,"Low tech development"
1960,"Luxembourg",13,"Low-med tech development"
1960,"Malaysia",5,"Low-med tech development"
1960,"Netherlands",4,"Low-med tech development"
1960,"United States",1202,"High tech development"
1961,"Austria",67,"High-med tech development"
1961,"Belgium",86,"High-med tech development"
1961,"Canada",5,"Low tech development"
1961,"Switzerland",185,"High tech development"
1961,"Denmark",7,"Low-med tech development"
1961,"Spain",50,"Low-med tech development"
1961,"Iceland",2,"Low tech development"
1961,"Luxembourg",18,"Low-med tech development"
1961,"Monaco",1,"Low tech development"
1961,"Malaysia",2,"Low tech development"
1961,"Netherlands",5,"Low-med tech development"
1961,"Sweden",52,"High-med tech development"
1961,"United States",1264,"High tech development"
1962,"Austria",54,"High-med tech development"
1962,"Australia",1,"Low tech development"
1962,"Belgium",71,"High-med tech development"
1962,"Canada",1,"Low tech development"
1962,"Switzerland",164,"High tech development"
1962,"Denmark",11,"Low-med tech development"
1962,"Spain",38,"High-med tech development"
1962,"Italy",1,"Low tech development"
1962,"Luxembourg",30,"Low-med tech development"
1962,"Monaco",1,"Low tech development"
1962,"Malaysia",3,"Low-med tech development"
1962,"Netherlands",5,"Low-med tech development"
1962,"Sweden",66,"High-med tech development"
1962,"United States",1408,"High tech development"
1963,"Austria",39,"High-med tech development"
1963,"Belgium",26,"High-med tech development"
1963,"Canada",2,"Low-med tech development"
1963,"Switzerland",127,"High tech development"
1963,"Cyprus",1,"Low tech development"
1963,"Denmark",6,"Low-med tech development"
1963,"Spain",47,"High-med tech development"
1963,"Luxembourg",23,"Low-med tech development"
1963,"Monaco",1,"Low tech development"
1963,"Malaysia",2,"Low-med tech development"
1963,"Netherlands",1,"Low tech development"
1963,"Sweden",93,"High-med tech development"
1963,NA,1,"Low tech development"
1963,"United States",1187,"High tech development"
1964,"Austria",45,"Low-med tech development"
1964,"Australia",3,"Low-med tech development"
1964,"Belgium",173,"High-med tech development"
1964,"Canada",2,"Low tech development"
1964,"Switzerland",229,"High tech development"
1964,"Denmark",9,"Low-med tech development"
1964,"Spain",60,"High-med tech development"
1964,"Iceland",1,"Low tech development"
1964,"Japan",1,"Low tech development"
1964,"Luxembourg",18,"Low-med tech development"
1964,"Malaysia",2,"Low tech development"
1964,"Netherlands",171,"High-med tech development"
1964,"Sweden",51,"High-med tech development"
1964,"United States",1268,"High tech development"
1965,"Austria",119,"High-med tech development"
1965,"Australia",2,"Low tech development"
1965,"Belgium",233,"High-med tech development"
1965,"Canada",2,"Low tech development"
1965,"Switzerland",354,"High tech development"
1965,"Cyprus",1,"Low tech development"
1965,NA,1,"Low tech development"
1965,"Denmark",39,"Low-med tech development"
1965,"Dominican Republic",1,"Low tech development"
1965,"Spain",64,"High-med tech development"
1965,"Luxembourg",17,"Low-med tech development"
1965,"Monaco",3,"Low-med tech development"
1965,"Malaysia",4,"Low-med tech development"
1965,"Netherlands",326,"High tech development"
1965,"Sweden",75,"High-med tech development"
1965,NA,2,"Low-med tech development"
1965,"United States",1480,"High tech development"
1966,"Austria",125,"High-med tech development"
1966,"Australia",29,"Low-med tech development"
1966,"Belgium",248,"High-med tech development"
1966,"Canada",6,"Low tech development"
1966,"Switzerland",466,"High tech development"
1966,"Denmark",104,"High-med tech development"
1966,"Spain",44,"High-med tech development"
1966,"Japan",1,"Low tech development"
1966,"Luxembourg",23,"Low-med tech development"
1966,"Monaco",1,"Low tech development"
1966,"Malaysia",4,"Low tech development"
1966,"Netherlands",360,"High tech development"
1966,NA,25,"Low-med tech development"
1966,"Sweden",7,"Low-med tech development"
1966,"United States",1358,"High tech development"
1967,"Austria",209,"High-med tech development"
1967,"Australia",68,"Low-med tech development"
1967,"Belgium",343,"High-med tech development"
1967,"Canada",5,"Low tech development"
1967,"Switzerland",385,"High tech development"
1967,"Cyprus",2,"Low tech development"
1967,"Denmark",79,"High-med tech development"
1967,"Spain",136,"High-med tech development"
1967,"Finland",1,"Low tech development"
1967,"Greece",7,"Low-med tech development"
1967,"Iceland",1,"Low tech development"
1967,"Luxembourg",38,"Low-med tech development"
1967,"Malaysia",5,"Low-med tech development"
1967,"Netherlands",433,"High tech development"
1967,NA,7,"Low-med tech development"
1967,"Sweden",2,"Low tech development"
1967,"United States",1365,"High tech development"
1968,"Austria",183,"High-med tech development"
1968,"Australia",129,"High-med tech development"
1968,"Belgium",388,"High tech development"
1968,"Canada",3,"Low tech development"
1968,"Switzerland",330,"High tech development"
1968,"Cyprus",3,"Low tech development"
1968,NA,1,"Low tech development"
1968,"Denmark",104,"High-med tech development"
1968,"Spain",100,"High-med tech development"
1968,"Finland",11,"Low-med tech development"
1968,"Greece",5,"Low tech development"
1968,"Ireland",19,"Low-med tech development"
1968,"Israel",46,"High-med tech development"
1968,"Iceland",3,"Low tech development"
1968,"Luxembourg",34,"Low-med tech development"
1968,"Monaco",1,"Low tech development"
1968,"Malaysia",5,"Low-med tech development"
1968,"Netherlands",469,"High tech development"
1968,"Norway",6,"Low-med tech development"
1968,NA,12,"Low-med tech development"
1968,"Sweden",219,"High-med tech development"
1968,"United States",1234,"High tech development"
1969,"Austria",204,"High-med tech development"
1969,"Australia",142,"High-med tech development"
1969,"Belgium",337,"High tech development"
1969,"Canada",7,"Low tech development"
1969,"Switzerland",275,"High tech development"
1969,NA,1,"Low tech development"
1969,"Denmark",137,"High-med tech development"
1969,"Spain",116,"Low-med tech development"
1969,"Finland",12,"Low-med tech development"
1969,"Greece",4,"Low tech development"
1969,"Ireland",33,"Low-med tech development"
1969,"Israel",123,"High-med tech development"
1969,"Luxembourg",23,"Low-med tech development"
1969,"Monaco",1,"Low tech development"
1969,"Malaysia",10,"Low tech development"
1969,"Netherlands",448,"High tech development"
1969,"Norway",44,"Low-med tech development"
1969,NA,20,"Low-med tech development"
1969,"Sweden",265,"High-med tech development"
1969,"United States",1373,"High tech development"
1969,"Zambia",1,"Low tech development"
1970,"Austria",177,"High-med tech development"
1970,"Australia",142,"High-med tech development"
1970,"Belgium",336,"High tech development"
1970,"Canada",24,"Low-med tech development"
1970,"Switzerland",327,"High tech development"
1970,"Cuba",2,"Low tech development"
1970,"Cyprus",1,"Low tech development"
1970,NA,2,"Low tech development"
1970,"Denmark",106,"High-med tech development"
1970,"Spain",97,"High-med tech development"
1970,"Finland",29,"Low-med tech development"
1970,"Ireland",28,"Low-med tech development"
1970,"Israel",121,"High-med tech development"
1970,"Iceland",5,"Low-med tech development"
1970,"Japan",1,"Low tech development"
1970,"Luxembourg",35,"Low-med tech development"
1970,"Monaco",2,"Low tech development"
1970,"Malta",1,"Low tech development"
1970,"Malaysia",4,"Low-med tech development"
1970,"Netherlands",441,"High tech development"
1970,"Norway",39,"Low-med tech development"
1970,NA,100,"High-med tech development"
1970,"Sweden",221,"High tech development"
1970,"United States",1447,"High tech development"
1970,"Zambia",2,"Low tech development"
1971,"Austria",239,"High-med tech development"
1971,"Australia",244,"High tech development"
1971,"Belgium",332,"High tech development"
1971,"Canada",51,"Low-med tech development"
1971,"Switzerland",286,"High tech development"
1971,"Cyprus",1,"Low tech development"
1971,NA,1,"Low tech development"
1971,"Denmark",83,"High-med tech development"
1971,"Spain",117,"High-med tech development"
1971,"Finland",45,"Low-med tech development"
1971,"Ireland",31,"Low-med tech development"
1971,"Israel",135,"High-med tech development"
1971,"Iceland",5,"Low tech development"
1971,"Japan",2,"Low tech development"
1971,"Luxembourg",37,"Low-med tech development"
1971,"Malta",1,"Low tech development"
1971,"Malaysia",12,"Low tech development"
1971,"Netherlands",362,"High tech development"
1971,"Norway",27,"Low-med tech development"
1971,NA,29,"Low-med tech development"
1971,"Sweden",221,"High-med tech development"
1971,"United States",1624,"High tech development"
1971,"South Africa",135,"High-med tech development"
1971,"Zambia",2,"Low tech development"
1972,"Austria",252,"High tech development"
1972,"Australia",233,"High-med tech development"
1972,"Belgium",291,"High tech development"
1972,"Bulgaria",8,"Low-med tech development"
1972,"Canada",52,"Low-med tech development"
1972,"Switzerland",242,"High tech development"
1972,NA,1,"Low tech development"
1972,"Denmark",74,"High-med tech development"
1972,"Spain",106,"High-med tech development"
1972,"Finland",59,"Low-med tech development"
1972,"Ireland",39,"Low-med tech development"
1972,"Israel",141,"High-med tech development"
1972,"Iceland",1,"Low tech development"
1972,"Japan",3,"Low tech development"
1972,"Luxembourg",28,"Low-med tech development"
1972,"Malaysia",3,"Low tech development"
1972,"Netherlands",344,"High tech development"
1972,"Norway",36,"Low-med tech development"
1972,"Sweden",201,"High-med tech development"
1972,NA,5,"Low tech development"
1972,"United States",1467,"High tech development"
1972,"South Africa",136,"High-med tech development"
1972,"Zambia",3,"Low tech development"
1973,"Argentina",43,"Low-med tech development"
1973,"Austria",211,"High-med tech development"
1973,"Australia",337,"High tech development"
1973,"Belgium",299,"High tech development"
1973,"Bulgaria",25,"Low tech development"
1973,"Brazil",292,"High tech development"
1973,"Canada",254,"High tech development"
1973,"Switzerland",178,"High-med tech development"
1973,NA,54,"Low-med tech development"
1973,"Cyprus",1,"Low tech development"
1973,NA,95,"High-med tech development"
1973,"Denmark",95,"High-med tech development"
1973,"Dominican Republic",1,"Low tech development"
1973,"Spain",88,"High-med tech development"
1973,"Finland",67,"Low-med tech development"
1973,"Hungary",54,"Low-med tech development"
1973,"Ireland",75,"Low-med tech development"
1973,"Israel",159,"High-med tech development"
1973,"Iceland",3,"Low tech development"
1973,"Italy",276,"High tech development"
1973,"Japan",224,"High-med tech development"
1973,"Luxembourg",30,"Low-med tech development"
1973,"Monaco",4,"Low tech development"
1973,"Malaysia",14,"Low tech development"
1973,"Netherlands",381,"High tech development"
1973,"Norway",36,"Low-med tech development"
1973,"Poland",7,"Low tech development"
